"","AV","OPC","Proportion"
"601",0.182983451746522,9.3,0.3175
"602",0.181676920436039,16.3,0.0967741935483871
"603",0.556848897451903,17.65,0.297612732095491
"605",0.680175061883263,12.25,0.1625
"606",0.157311532776723,11.25,0.0565
"607",0.0998061989713897,5.35,0.017
"608",0.156698071982001,6.65,0.1705
"609",0.415569762722429,40.3,0.022
"610",0.275417883945031,4.45,0.137137137137137
"611",0.130139026464208,13,0.0135
"612",0.0586425255710841,6,0.0205
"613",0.111383444790752,6.55,0.0287581699346405
"614",0.0976317510967132,8.05,0.036
"615",0.438647775810754,7.45,0.379
"616",0.22309057219289,6.35,0.508
"617",0.000923368798357572,0,0.005
"618",0.166446159839316,11,0.029
"619",0.795068300025836,19.5,0.2415
"620",0.228485254795964,19.2,0.0565
"621",0.34744113099358,8,0.232
"622",0.470693000497285,10.7,0.164588528678304
"625",0.853585943801556,21.65,0.6565
"628",0.616981252203719,9.25,0.059
"629",0.797647217203624,14.5,0.129442970822281
"630",0.595062722684852,9.2,0.2125
"631",0.0548040696224923,3.9,0.03
"632",0.716471036330964,13.8,0.1545
"634",0.414785816365258,9,0.1485
"637",0.141601007371353,8.5,0.0095
"638",0.514703294627014,18.1,0.1055
"639",3.725300725319e-05,0,0.027
"640",0.569305011367417,7.5,0.1945
"641",0.265682057143771,16.05,0.019
"643",0.223567085237584,9.35,0.0975903614457831
"644",0.743456342702727,10.85,0.1035
"649",0.582700111041581,21.45,0.1085
"650",0.0223490200833072,0.5,0
"652",0.0901049583872807,7.35,0.0165
"653",0.083686041856236,4.65,0.134
"654",0.294308957120812,19.15,0.0615
"655",0.427236274947558,9.4,0.2215
"656",0.742947027568976,14.25,0.2615
"657",0.661170505053071,14.5,0.525
"658",0.529034222276937,21.8,0.369398907103825
"660",0.823646196629433,15.4,0.137
"661",0.000306138119420456,0,0.028
"662",0.0895675634422223,5.75,0.0475
"664",0.776005735522201,13.5,0.0905
"668",0.210493137731909,17.2,0.0865051903114187
"669",0.314231290808955,16.3,0.288040075140889
"671",0.191692471075664,7.55,0.172
"672",0.62636560442957,13.95,0.205
"673",0.541239053338695,10.45,0.239
"674",0.330477196135624,13.15,0.154492905937993
"675",0.00133899797753014,0,0.0315
"676",0.000982043280936306,0,0.022
"677",0.0720319903114686,4,0.0435
"678",0.909453594517877,27.05,0.1475
"679",0.021962961297126,0.4,0
"680",0.00138041967581479,0,0.0175
"681",0.00286760052495666,0.05,0.0101171458998935
"683",6.48969375890387e-08,0,0.034
"688",0.00655049471044126,0.3,0.007
"689",7.23764359404942e-05,0,0.0325
"690",0.00204720253091658,0,0
"693",0.167885853163308,6.8,0.0985058107360266
"695",0.0572001507318982,4.9,0.058
"696",0.00156795803669605,0,0.053
"697",0.0812476745954235,10.7,0.021
"698",0.0648788394096278,4.45,0.064
"699",0.0050096977408208,0,0.009
"700",0.0956904357345924,6.2,0.0215
